code,industry
000938,电子信息
000948,软件服务
000949,化纤行业
000950,医药商业
000951,汽车制造
000952,医药制造
000953,医药制造
000955,纺织服装
000957,汽车整车
000958,电力行业
000959,钢铁行业
000960,有色金属
000961,--
000962,小金属
000963,生物制药
000965,房地产
000966,电力行业
000967,发电设备
000968,燃气
000969,通用设备
000970,小金属
000971,--
000972,食品饮料
000973,塑胶制品
000975,有色金属
000976,--
000977,电子信息
000978,旅游酒店
000980,汽车整车
000981,汽车行业
000982,--
000983,煤炭行业
000985,化学制品
000987,商业百货
000988,电子元件
000989,中药
000990,化学原料
000991,--
000993,电力行业
000995,酿酒行业
000996,--
000997,电子信息
000998,农牧饲渔
000999,生物制药
001201,农牧饲渔
001202,交运物流
001203,钢铁行业
001205,港口水运
001206,美容护理
001207,橡胶制品
001208,输配电气
001209,纺织服装
001210,公用事业
001211,家用轻工
001215,食品饮料
001216,装修建材
001217,化学原料
001218,化工行业
001219,食品饮料
001221,轻工制造
001222,家用轻工
001223,专用设备
001225,通用设备
001226,工程机械
001227,银行
001228,物流行业
001229,计算机设备
001230,环保行业
001231,农药兽药
001233,橡胶制品
001234,纺织服装
001235,电网设备
001236,多元金融
001238,装修建材
001239,专用设备
001255,化学原料
001256,专用设备
001257,小金属
001258,电力行业
001259,家电行业
001260,汽车零部件
001266,仪器仪表
001267,工程建设
001268,通用设备
001269,光伏设备
001270,半导体
001277,专用设备
001278,汽车零部件
001279,造纸印刷
001280,小金属
001282,汽车零部件
001283,电池
001285,汽车零部件
001286,电力行业
001287,贸易行业
001288,工程机械
001289,电力行业
001296,非金属材料
001298,电子元件
001299,燃气
001300,家用轻工
001301,非金属材料
001306,通用设备
001308,消费电子
001309,半导体
001311,汽车零部件
001313,农牧饲渔
001316,贸易行业
001317,交运物流
001318,食品饮料
001319,汽车零部件
001322,装修建材
001323,家用轻工
001324,交运设备
001326,光学光电子
001328,美容护理
001330,文化传媒
001331,物流行业
001333,化学制品
001335,化学制品
001336,专用设备
001337,贵金属
001338,农牧饲渔
001339,计算机设备
001356,塑料制品
001358,化学原料
001359,非金属材料
001360,专用设备
001366,农牧饲渔
001367,化学制药
001368,塑料制品
001369,化纤行业
001373,光学光电子
001376,公用事业
001378,塑料制品
001379,通用设备
001380,通用设备
001382,--
001386,家用轻工
001387,家电行业
001388,电网设备
001389,电子元件
001390,--
001391,物流行业
001395,专用设备
001396,专业服务
001400,通用设备
001696,摩托车
001872,港口水运
001896,电力行业
001914,房地产服务
001965,高速公路
001979,房地产
002001,生物制药
002002,--
002003,纺织服装
002004,化学制药
002005,家电行业
002006,专用设备
002007,生物制药
002008,仪器仪表
002009,专用设备
002010,交运物流
002011,家电行业
002012,造纸印刷
002013,--
002014,包装材料
002015,电力行业
002016,房地产
002017,通讯行业
002018,--
002019,医药制造
002020,医药制造
002021,专用设备
002022,医疗器械
002023,航天航空
002024,商业百货
002025,电子器件
002026,机械行业
002027,电子信息
002028,发电设备
002029,纺织服装
002030,医疗器械
002031,专用设备
002032,家电行业
002033,旅游酒店
002034,环保工程
002035,家电行业
002036,光学光电子
002037,化工行业
002038,生物制品
002039,电力行业
002040,港口水运
002041,农牧饲渔
002042,纺织服装
002043,木业家具
002044,医疗行业
002045,消费电子
002046,机械行业
002047,装修装饰
002048,汽车行业
002049,电子器件
002050,家电行业
002051,工程建设
002052,家电行业
002053,化学原料
002054,化工行业
002055,消费电子
002056,电子器件
002057,非金属材料
002058,电网设备
002059,旅游酒店
002060,工程建设
002061,工程建设
002062,工程建设
002063,软件服务
002064,化纤行业
002065,电子信息
002066,装修建材
002067,造纸印刷
002068,橡胶制品
002070,--
002071,--
002072,贸易行业
002073,专用设备
002074,电池
002075,钢铁行业
002076,家电行业
002077,半导体
002078,造纸行业
002079,半导体
002080,化纤行业
002081,装修装饰
002082,化学制药
002083,纺织服装
002084,装修装饰
002085,汽车行业
002086,农牧饲渔
002087,--
002088,装修建材
002089,--
002090,电网设备
002091,国际贸易
002092,化学原料
002093,电信运营
002094,家用轻工
002095,电子信息
002096,化工行业
002097,工程机械
002098,纺织服装
002099,医药制造
002100,农牧饲渔
002101,汽车行业
002102,医药制造
002103,家用轻工
002104,通信设备
002105,交运设备
002106,光学光电子
002107,中药
002108,塑胶制品
002109,化学原料
002110,钢铁行业
002111,专用设备
002112,输配电气
002113,--
002114,有色金属
002115,互联网服务
002116,工程咨询服务
002117,造纸印刷
002118,--
002119,半导体
002120,交运物流
002121,电网设备
002122,机械行业
002123,通信服务
002124,农牧饲渔
002125,化学原料
002126,汽车制造
002127,贸易行业
002128,煤炭行业
002129,光伏设备
002130,发电设备
002131,机械行业
002132,通用设备
002133,房地产
002134,电子元件
002135,工程建设
002136,化学原料
002137,电子元件
002138,电子器件
002139,消费电子
002140,工程建设
002141,电子元件
002142,金融行业
002143,--
002144,纺织服装
002145,化学原料
002146,房地产服务
002147,--
002149,小金属
002150,光伏设备
002151,通信设备
002152,电子信息
002153,电子信息
002154,纺织服装
002155,有色金属
002156,电子器件
002157,农林牧渔
002158,机械行业
002159,旅游酒店
002160,有色金属
002161,电子元件
002162,装修建材
002163,玻璃陶瓷
002164,通用设备
002165,化工行业
002166,中药
002168,电网设备
002169,输配电气
002170,化肥行业
002171,有色金属
002172,医疗服务
002173,医疗行业
002174,游戏
002175,仪器仪表
002176,电机
002177,计算机设备
002178,软件服务
002179,电子器件
002180,计算机设备
002181,文化传媒
002182,有色金属
002183,贸易行业
002184,专用设备
002185,电子器件
002186,旅游酒店
002187,商业百货
002188,房地产服务
002189,光学光电子
002190,汽车零部件
002191,包装材料
002192,能源金属
002194,通讯行业
002195,电子信息
002196,电机
002197,计算机设备
002198,中药
002199,电子元件
002201,玻璃陶瓷
002202,风电设备
002203,有色金属
002204,工程机械
002205,水泥建材
002206,化纤行业
002207,采掘行业
002210,环保行业
002211,化学制品
002212,软件开发
002214,电子元件
002215,农药兽药
002216,食品饮料
002217,光学光电子
002218,光伏设备
002220,--
002221,石油行业
002222,光学光电子
002223,医疗器械
002224,橡胶制品
002226,化工行业
002227,电源设备
002228,包装材料
002229,造纸印刷
002230,电子信息
002231,通信服务
002232,互联网服务
002233,水泥建材
002234,农牧饲渔
002235,造纸印刷
002236,仪器仪表
002237,贵金属
002238,文化传媒
002239,汽车行业
002241,电子器件
002242,家电行业
002243,美容护理
002244,房地产
002245,电池
002246,化工行业
002247,装修装饰
002248,机械行业
002249,电机
002250,农药兽药
002251,商业百货
002252,生物制药
002253,软件服务
002254,化纤行业
002255,电源设备
002257,--
002258,农药兽药
002259,燃气
002260,--
002261,软件开发
002263,塑料制品
002265,汽车制造
002266,电器行业
002267,燃气
002268,软件服务
002269,纺织服装
002271,建筑建材
002273,电子器件
002275,中药
002276,输配电气
002277,商业百货
002278,专用设备
002279,软件服务
002280,--
002281,通信
002282,机械行业
002283,汽车行业
002284,汽车行业
002285,房地产服务
002286,食品饮料
002287,中药
002288,--
002289,光学光电子
002290,家电行业
002291,互联网服务
002292,文化传媒
002293,纺织服装
002295,有色金属
002297,航天航空
002298,电网设备
002299,农林牧渔
002302,水泥建材
002303,包装材料
002304,酿酒行业
002307,工程建设
002309,光伏设备
002310,电力行业
002311,农林牧渔
002312,化肥行业
002313,通讯行业
002314,房地产
002315,电子信息
002316,电子信息
002317,中药
002318,钢铁行业
002319,化工行业
002320,港口水运
002321,农牧饲渔
002322,软件服务
002323,装修建材
002324,塑胶制品
002325,--
002326,化工行业
002327,纺织服装
002328,汽车零部件
002330,食品饮料
002333,装修建材
002334,专用设备
002335,电器行业
002336,--
002337,专用设备
002338,仪器仪表
002339,电网设备
002340,有色金属
002341,--
002343,文化传媒
002344,商业百货
002346,输配电气
002347,机械行业
002350,输配电气
002352,交运物流
002353,专用设备
002354,互联网服务
002355,汽车行业
002356,贸易行业
002357,高速公路
002358,输配电气
002359,--
002360,化工行业
002361,塑料制品
002362,软件服务
002363,汽车行业
002364,电源设备
002365,医药制造
002366,电源设备
002370,医药制造
002371,电子器件
002372,建筑建材
002373,互联网服务
002374,包装材料
002375,装修装饰
002379,有色金属
002380,电子信息
002381,橡胶制品
002382,医疗器械
002383,计算机设备
002385,农林牧渔
002386,化学原料
002390,中药
002391,农药兽药
002394,纺织服装
002395,塑胶制品
002396,通讯行业
002397,纺织服装
002398,装修建材
002399,医药制造
002400,文化传媒
002401,互联网服务
002402,电子器件
002404,纺织服装
002405,软件服务
002407,化工行业
002409,化工行业
002410,软件服务
002411,--
002414,电子元件
002415,仪器仪表
002416,商业百货
002417,--
002418,家电行业
002419,商业百货
002420,家电行业
002421,软件开发
002422,医药制造
002423,钢铁行业
002424,中药
002425,游戏
002426,通用设备
002427,化纤行业
002428,小金属
002429,家电行业
002430,专用设备
002431,工程建设
002432,医疗器械
002433,--
002434,汽车行业
002435,--
002436,电子元件
002439,软件服务
002440,化工行业
002441,输配电气
002442,橡胶制品
002443,钢铁行业
002444,通用设备
002445,通用设备
002446,通讯行业
002447,--
002448,汽车行业
002451,输配电气
002452,输配电气
002453,化学制品
002454,汽车行业
002455,化工行业
002456,光学光电子
002457,装修建材
002458,农牧饲渔
002459,光伏设备
002460,有色金属
002461,酿酒行业
002462,医药商业
002463,电子器件
002464,--
002465,国防军工
002466,能源金属
002467,电信运营
002468,交运物流
002469,化学原料
002470,化肥行业
002471,输配电气
002472,汽车零部件
002473,--
002474,互联网服务
002475,电子器件
002476,化工行业
002477,--
002478,钢铁行业
002479,环保工程
002480,机械行业
002481,食品饮料
002483,专用设备
002484,电子元件
002485,纺织服装
